Level,HP,Defense,Attack,Crit Rate,Crit DMG,Speed,Coins,Wood,Steal,Boatswain,Gunner,Navigator,Explorer,Storage
40,79393,19696,1409,9,19,19,8507,72,31,1,1,2,3,40
41,81404,20202,1443,10,20,20,9000,78,34,1,3,3,4,50
42,83414,20707,1478,10,20,20,9522,83,36,1,3,3,4,50
43,85424,21212,1513,10,21,21,10074,89,39,1,3,3,4,50
44,87434,21717,1548,10,21,21,10658,96,42,1,3,3,4,50
45,89444,22222,1583,11,22,22,11276,103,45,1,3,3,4,50
46,91454,22727,1618,11,22,22,11929,111,49,1,3,3,4,50
47,93464,23232,1653,11,23,23,12621,119,52,1,3,3,4,50
48,95474,23737,1687,11,23,23,13352,127,56,1,3,3,4,50
49,97484,24242,1722,12,24,24,14126,137,61,1,3,3,4,50
50,99494,24747,1757,12,24,24,14945,147,65,1,3,3,4,50
51,101505,25252,1792,12,25,25,15811,158,70,1,3,3,4,60
52,103515,25757,1827,12,25,25,16727,169,76,1,3,3,4,60
53,105525,26262,1862,13,26,26,17697,182,81,1,3,3,4,60
54,107535,26767,1896,13,26,26,18723,195,87,1,3,3,4,60
55,109545,27272,1931,13,27,27,19808,209,94,1,3,3,4,60
56,111555,27777,1966,13,27,27,20956,224,101,1,3,3,4,60
57,113565,28282,2001,14,28,28,22170,241,109,1,3,3,4,60
58,115575,28787,2036,14,28,28,23455,258,117,1,3,3,4,60
59,117585,29292,2071,14,29,29,24815,277,126,1,3,3,4,60
60,119595,29797,2106,14,29,29,26253,298,136,1,3,3,4,60
61,121606,30303,2140,15,30,30,27775,319,146,2,4,4,5,70
62,123616,30808,2175,15,30,30,29385,343,157,2,4,4,5,70
63,125626,31313,2210,15,31,31,31088,368,169,2,4,4,5,70
64,127636,31818,2245,15,31,31,32890,395,182,2,4,4,5,70
65,129646,32323,2280,16,32,32,34796,424,195,2,4,4,5,70
66,131656,32828,2315,16,32,32,36813,455,210,2,4,4,5,70
67,133666,33333,2350,16,33,33,38946,488,226,2,4,4,5,70
68,135676,33838,2384,16,33,33,41203,524,243,2,4,4,5,70
69,137686,34343,2419,17,34,34,43592,562,262,2,4,4,5,70
70,139696,34848,2454,17,34,34,46118,603,281,2,4,4,5,70
71,141707,35353,2489,17,35,35,48791,647,303,2,4,4,5,80
72,143717,35858,2524,17,35,35,51619,694,325,2,4,4,5,80
73,145727,36363,2559,18,36,36,54611,745,350,2,4,4,5,80
74,147737,36868,2593,18,36,36,57776,799,376,2,4,4,5,80
75,149747,37373,2628,18,37,37,61125,858,405,2,4,4,5,80
76,151757,37878,2663,18,37,37,64667,921,436,2,4,4,5,80
77,153767,38383,2698,19,38,38,68416,988,468,2,4,4,5,80
78,155777,38888,2733,19,38,38,72381,1060,504,2,4,4,5,80
79,157787,39393,2768,19,39,39,76576,1137,542,2,4,4,5,80
80,159797,39898,2803,19,39,39,81014,1221,583,2,5,5,5,80
81,161808,40404,2837,20,40,40,85710,1310,627,2,5,5,5,90
82,163818,40909,2872,20,40,40,90678,1405,674,2,5,5,5,90
83,165828,41414,2907,20,41,41,95933,1508,725,2,5,5,5,90
84,167838,41919,2942,20,41,41,101493,1618,780,2,5,5,5,90
85,169848,42424,2977,21,42,42,107376,1736,839,2,5,5,5,90
86,171858,42929,3012,21,42,42,113599,1863,902,2,5,5,5,90
87,173868,43434,3046,21,43,43,120183,1999,970,2,5,5,5,90
88,175878,43939,3081,21,43,43,127149,2145,1044,2,5,5,5,90
89,177888,44444,3116,22,44,44,134518,2302,1122,2,5,5,5,90
90,179898,44949,3151,22,44,44,142315,2470,1207,2,5,5,5,90
91,181909,45454,3186,22,45,45,150563,2651,1298,2,5,5,5,100
92,183919,45959,3221,22,45,45,159290,2844,1396,2,5,5,5,100
93,185929,46464,3256,23,46,46,168522,3052,1502,2,5,5,5,100
94,187939,46969,3290,23,46,46,178290,3275,1615,2,5,5,5,100
95,189949,47474,3325,23,47,47,188623,3514,1737,2,5,5,5,100
96,191959,47979,3360,23,47,47,199556,3771,1868,2,5,5,5,100
97,193969,48484,3395,24,48,48,211122,4047,2009,2,5,5,5,100
98,195979,48989,3430,24,48,48,223358,4342,2161,2,5,5,5,100
99,197989,49494,3465,24,49,49,236304,4659,2324,2,5,5,5,100
100,200000,50000,3500,25,50,50,250000,5000,2500,2,5,5,5,100
